pathway,pathway_id,n_genes,pathway_size,odds_ratio,p_value,p_adj_bh,is_signaling,genes
Neutrophil extracellular trap formation - Homo sapiens (human),path:hsa04613,1,196,4.325,0.21282361191305949,0.24683770052775916,False,MYC
Transcriptional misregulation in cancer - Homo sapiens (human),path:hsa05202,1,201,4.216,0.21763401298738244,0.24683770052775916,False,MYC
Focal adhesion - Homo sapiens (human),path:hsa04510,1,203,4.174,0.21955020613440832,0.24683770052775916,False,RAD1
Diabetic cardiomyopathy - Homo sapiens (human),path:hsa05415,1,205,4.133,0.22146186215574654,0.24683770052775916,False,MYC
Viral carcinogenesis - Homo sapiens (human),path:hsa05203,1,205,4.133,0.22146186215574654,0.24683770052775916,False,RAD1
Human immunodeficiency virus 1 infection - Homo sapiens (human),path:hsa05170,1,214,3.957,0.23000844492004419,0.25372065573654357,False,MYC
Thermogenesis - Homo sapiens (human),path:hsa04714,1,235,3.599,0.24959924711683387,0.27252162695409415,False,MYC
Coronavirus disease - COVID-19 - Homo sapiens (human),path:hsa05171,1,238,3.553,0.25235829606204746,0.27275088564281896,False,RPL36A
Salmonella infection - Homo sapiens (human),path:hsa05132,1,251,3.366,0.2642012758334414,0.28180950286925394,False,MYC
Shigellosis - Homo sapiens (human),path:hsa05131,1,253,3.339,0.2660071008392023,0.28180950286925394,False,MYC
Ribosome biogenesis in eukaryotes - Homo sapiens (human),path:hsa03008,2,889,1.914,0.2943269801141318,0.30875477325698136,False,"DROSHA, NOB1"
MAPK signaling pathway - Homo sapiens (human),path:hsa04010,1,300,2.809,0.30723151906227364,0.31916284019090563,True,MYC
Huntington disease - Homo sapiens (human),path:hsa05016,1,311,2.708,0.3165515141604128,0.325682807838117,False,MYC
Alzheimer disease - Homo sapiens (human),path:hsa05010,1,391,2.145,0.3807798361418886,0.3880327854017341,False,MYC
Pathways of neurodegeneration - multiple diseases - Homo sapiens (human),path:hsa05022,1,483,1.729,0.44743884870412065,0.4516599699183105,True,MYC
Ribosome - Homo sapiens (human),path:hsa03010,1,928,0.883,0.6834559538657421,0.6834559538657421,False,RPL36A
