TF,n_targets,enrichment,p_value,p_adj_bh,fraction_of_targets,top_targets
ATF4,2,1.549,0.3825989703244482,0.4190369674982052,0.061,"MCL1, ASNS"
PPARA,2,1.549,0.3825989703244482,0.4190369674982052,0.061,"MYC, CCND1"
CREB1,5,1.503,0.39417015071940553,0.42663122195512126,0.059,"IL6, SOX9, MUC4, CCND1, POLD2"
STAT1,33,1.156,0.4393281241913193,0.46997892355350435,0.046,"ICAM1, IL6, FOXK1, CISH, BCL3, CD44, CFB, MUC4, MGLL, ZNF12"
RUNX1,12,1.213,0.5136202908028759,0.5431386983202825,0.048,"TMEM163, RORC, ZEB2, SSBP2, CD44, LIMCH1, ESYT2, SMYD3, STON2, ZBTB16"
SPI1,20,1.135,0.5412864801065469,0.5658904110204809,0.045,"ICAM1, CD44, SMYD3, MGLL, FAM13A, PAM, MACROD1, CSF1, ECE1, FLNB"
POU2F1,2,1.413,0.6548300286513893,0.676902950965481,0.056,"MYC, CCND1"
USF2,2,1.2,0.6848273865169676,0.7000457728840114,0.048,"TCN2, TGFB2"
FOXO1,2,1.067,0.7124692350064072,0.7202985672592249,0.043,"CCND1, CAV1"
YY1,2,0.631,0.7717450233111638,0.7717450233111638,0.026,"EGFR, MYC"
