TF,n_targets,enrichment,p_value,p_adj_bh,fraction_of_targets,top_targets
GATA2,43,2.554,3.5736162948961363e-07,2.5290207625418813e-06,0.094,"FAM13A, EFHC1, KIAA1217, GULP1, SMYD3, KCNK1, CALD1, SYT1, SSBP2, MET"
STAT3,15,5.132,1.4761485225420731e-06,9.70040457670505e-06,0.174,"CHI3L1, CCND1, MUC4, CFB, IL6, MYC, CISH, IGF1, MCL1, EGFR"
NFKB1,22,3.331,4.3885268118284825e-06,2.6916297779214692e-05,0.12,"BCL3, TFF3, CD44, CXCL2, VIM, FSCN1, CXCL1, HSD11B2, MYC, IL1R1"
KLF5,5,40.196,5.133346090145877e-06,2.9516740018338793e-05,0.625,"FOXQ1, LAMB3, JUP, FGFBP1, FASN"
TCF7L2,7,11.272,1.6139345877204704e-05,8.734234239428429e-05,0.318,"SNAI2, CCND1, MYC, FGF18, CD44, CTNNB1, VIM"
RELA,19,3.186,3.2584323015529924e-05,0.0001665420954127085,0.116,"BCL3, BNIP3, CD44, CXCL2, SIRT1, MCL1, CXCL1, MYC, AGT, CSF1"
SOX2,25,2.507,9.92608838408228e-05,0.0004806316480713525,0.093,"FAM13A, EPHA4, ETV1, SYT1, ABCC6, RANBP17, BMPR1B, IMMP2L, FOXP2, EFNA5"
JUN,15,3.248,0.0001724042927983067,0.0007930597468722108,0.118,"POLD2, CCND1, MYC, FOSL1, IL6, CD44, IGF1, TNC, EGFR, ICAM1"
CTCF,44,1.909,0.00020713697222290786,0.0009074572116432154,0.072,"FOXK1, EFHC1, GALNT14, KIAA1217, ETNK2, SMYD3, SPTB, SIX5, DMKN, RASGEF1A"
MYC,32,2.135,0.00023109070818786047,0.0009663793251492346,0.08,"PAICS, BCL3, ASS1, NUP155, CXCL2, GOLPH3, FAH, MET, MUC1, FASN"
SMAD3,7,5.28,0.0008041619559228082,0.003216647823691233,0.179,"CDH1, FSTL3, MYC, KIAA1217, GPRC5A, MET, TNC"
REL,5,8.035,0.0009513163935534586,0.003646712841954925,0.25,"IL6, ICAM1, F3, CSF2, EPHB2"
PRDM14,18,2.481,0.0011808727879223978,0.004345611859554424,0.093,"ECE1, GPRC5C, NFIC, CCDC57, ASS1, SOX9, RAB25, PTPRU, WNT4, AGAP1"
HIC1,3,18.051,0.001978796940842607,0.0070018968675969176,0.429,"SIRT1, EPHA2, FGFBP1"
E2F1,36,1.799,0.002107672301252293,0.007181698211674479,0.069,"RAB40C, SEZ6L2, SOX12, BNIP3, TMEM132A, ECT2, CDCA7, NFIB, MPST, CDC42EP4"
PGR,4,8.758,0.0024388192338663513,0.00801326319698944,0.267,"MYC, HLTF, EGFR, CCND1"
TFAP2A,9,3.344,0.0027163536902313073,0.008617397913837251,0.122,"PRKCA, CDH1, POLD2, CRABP2, MYC, JUP, PPL, SMPD1, EGFR"
TCF4,3,14.44,0.003072141264498167,0.009421233211127712,0.375,"VIM, CD44, CCND1"
RARA,7,4.021,0.0031779510151326708,0.009431338496522765,0.143,"MACROD1, PRKCA, CRABP2, MYC, SFTPB, GPRC5A, ICAM1"
ZEB2,2,48.094,0.004667760244292482,0.013419810702340886,0.667,"VIM, CDH1"
ETS2,5,4.634,0.007248783080295241,0.020208728587489764,0.161,"MYC, FOSL1, CDKN2A, ICAM1, CSF2"
TAL1,24,1.837,0.007516234950314073,0.020338047512614553,0.07,"FAM13A, KIAA1217, SMYD3, SSBP2, ERGIC1, LIMCH1, NFIB, MGLL, ZNF608, ZNRF1"
ERG,4,5.666,0.008837260437846384,0.023229370293767634,0.19,"VIM, TMPRSS2, ICAM1, ZBTB16"
SP3,8,2.797,0.01174104938019189,0.030004903971601497,0.104,"TCN2, ITGA2, CCND1, HOXB7, CDKN2A, MYC, KDR, NKX2-1"
NFIC,5,4.015,0.012148862894881395,0.030207983414299682,0.143,"HSD11B2, POLD2, MYC, SLC34A2, COL18A1"
KLF4,3,7.219,0.013509542525115024,0.032707313481857424,0.231,"CDH1, PFKP, CCND1"
LEF1,4,4.815,0.014272957962336092,0.033669541859869756,0.167,"MYC, SNAI2, CTNNB1, CCND1"
SMAD4,5,3.764,0.015282051644936021,0.03514871878335285,0.135,"ID1, FSTL3, MYC, MET, TNC"
FOSL1,3,6.562,0.01669036830654391,0.03561552916917268,0.214,"CDKN2A, IL6, NQO1"
CEBPD,3,6.562,0.01669036830654391,0.03561552916917268,0.214,"IL6, C3, CCND1"
ETS1,32,1.589,0.01697476926340543,0.03561552916917268,0.061,"AMOTL2, FOXK1, BCL3, ID1, EFHC1, JUP, FGFBP1, MET, ERGIC1, FASN"
FOXO3,5,3.65,0.01703351395047389,0.03561552916917268,0.132,"FBXO32, SIRT1, ID1, CCND1, KLF4"
ZEB1,3,6.015,0.020253255574713306,0.04043578612840728,0.2,"SLC25A10, CDH1, PKP3"
YBX1,2,12.022,0.02153645130752127,0.04043578612840728,0.333,"AGT, EGFR"
JUNB,2,12.022,0.02153645130752127,0.04043578612840728,0.333,"CDKN2A, EGFR"
NR1H3,2,12.022,0.02153645130752127,0.04043578612840728,0.333,"SREBF1, FASN"
NR1H2,2,12.022,0.02153645130752127,0.04043578612840728,0.333,"SREBF1, FASN"
HIF1A,14,1.922,0.024611021118193903,0.04528427885747678,0.074,"SLC16A4, NPM1, GPX3, ERRFI1, BNIP3, CCND1, TFF3, GRB10, PFKP, MCL1"
SP4,2,9.617,0.02935951305419274,0.05296225884285749,0.286,"KDR, CCND1"
NFKB2,3,4.811,0.03324345064931341,0.05881533576416988,0.167,"IL6, BCL3, CD44"
WT1,4,3.566,0.033948671710121024,0.0589297697609648,0.129,"MYC, CDH1, EGFR, IGF1"
TCF7,2,8.014,0.03812197031742425,0.0639060549879206,0.25,"KIAA1217, SNAI2"
TP63,3,4.511,0.038333318774044035,0.0639060549879206,0.158,"KLF4, SFN, GRB10"
CEBPB,5,2.866,0.03889933781873428,0.0639060549879206,0.106,"ASNS, ALDH1A1, IL6, SAA1, SAA2"
AHR,2,6.869,0.047736310886931185,0.07468015147630387,0.222,"MYC, CYP1B1"
ATF3,2,6.869,0.047736310886931185,0.07468015147630387,0.222,"ID1, ASNS"
MITF,26,1.525,0.04789270583806444,0.07468015147630387,0.059,"FOXK1, FAM13A, BAIAP2, CALD1, GPAT4, MET, ECE1, CDH1, NFIB, MGLL"
JUND,3,4.009,0.049621240881438634,0.0748385928047927,0.143,"FOSL1, MAFK, IL6"
STAT5B,3,4.009,0.049621240881438634,0.0748385928047927,0.143,"MUC1, IGF1, CCND1"
FOXA2,2,5.342,0.0691977246727018,0.10105233349692322,0.182,"CDH1, MUC4"
STAT5A,3,3.436,0.06919888054680612,0.10105233349692322,0.125,"MUC1, IGF1, CCND1"
ATF2,3,3.137,0.0838939836316634,0.1187422537555851,0.115,"TGFB2, IMPDH2, CCND1"
SREBF1,3,3.137,0.0838939836316634,0.1187422537555851,0.115,"ARFIP2, ACACA, FASN"
NR3C1,2,4.37,0.09314811346756342,0.12602391822082112,0.154,"CALD1, SCNN1A"
RELB,2,4.37,0.09314811346756342,0.12602391822082112,0.154,"IL6, CD44"
FOSL2,2,4.37,0.09314811346756342,0.12602391822082112,0.154,"FOSL1, MAFK"
USF1,5,2.074,0.10712630131283135,0.14215219497428525,0.079,"TCN2, CCND1, HOXB7, TGFB2, FASN"
ATF1,3,2.775,0.10815927878478226,0.14215219497428525,0.103,"TGFB2, GOLPH3, TEAD1"
FOXP1,11,1.657,0.11320060135630167,0.14668246936309512,0.064,"FAM13A, ZBTB16, KIAA1217, CEP112, AGAP1, RBPMS, SSBP2, LAMC1, EFNA5, ZNF608"
SRF,3,2.672,0.11678769589529764,0.1492287225328803,0.1,"WWTR1, CALD1, FOSL1"
TWIST1,2,3.433,0.13261838898199801,0.1648769160316732,0.125,"CDKN2A, CDH1"
GLI2,2,3.433,0.13261838898199801,0.1648769160316732,0.125,"FOXA2, CCND1"
E2F4,27,1.357,0.13551451886180244,0.16623114313714432,0.053,"TLCD1, FAM210B, P4HA2, NUP155, PSMG3, SLC44A4, FSCN1, ABCA7, ERGIC1, FASN"
PPARG,4,2.091,0.1389429351503639,0.16819407939254577,0.08,"MYC, PTEN, EGFR, CCND1"
VDR,10,1.673,0.14178358328535484,0.16940376184743694,0.065,"FOXK1, CAMP, CUEDC1, CDH1, OSR2, NFIX, BAIAP2, HOXA10, SREBF1, EGFR"
ETV4,2,3.004,0.16065335595193894,0.18948857368690233,0.111,"VIM, MUC4"
ELK1,3,2.121,0.18332685072981528,0.21349456034358233,0.081,"FOSL1, PRKCA, MCL1"
MYCN,2,2.67,0.18962716973890062,0.21807124519973572,0.1,"MXI1, EGFR"
FOXM1,3,2.06,0.1935430607829089,0.21982668632132862,0.079,"MYC, CCND1, CDC25B"
FOXL2,2,2.403,0.21922072047249735,0.24595495467646045,0.091,"SIRT1, CXCL2"
ATF4,2,1.549,0.3825989703244482,0.4190369674982052,0.061,"ASNS, MCL1"
PPARA,2,1.549,0.3825989703244482,0.4190369674982052,0.061,"MYC, CCND1"
CREB1,5,1.503,0.39417015071940553,0.42663122195512126,0.059,"POLD2, MUC4, CCND1, IL6, SOX9"
STAT1,33,1.156,0.4393281241913193,0.46997892355350435,0.046,"FOXK1, BCL3, CD44, IGF1, ZNF33B, MET, LAPTM4B, ZNF12, ERGIC1, MUC1"
RUNX1,12,1.213,0.5136202908028759,0.5431386983202825,0.048,"ZBTB16, ESYT2, TMEM163, CD44, SMYD3, ZEB2, STON2, RORC, SSBP2, PAM"
SPI1,20,1.135,0.5412864801065469,0.5658904110204809,0.045,"MACROD1, FAM13A, CD44, SMYD3, ECE1, MGLL, ANK3, ZBTB16, TMEM163, ZEB2"
POU2F1,2,1.413,0.6548300286513893,0.676902950965481,0.056,"MYC, CCND1"
USF2,2,1.2,0.6848273865169676,0.7000457728840114,0.048,"TGFB2, TCN2"
FOXO1,2,1.067,0.7124692350064072,0.7202985672592249,0.043,"CCND1, CAV1"
YY1,2,0.631,0.7717450233111638,0.7717450233111638,0.026,"MYC, EGFR"
